n,steps,raw_certs,compressed_certs,cert_saved_pct,raw_json_bytes,compressed_json_bytes,json_saved_pct,benchmark_runs,raw_check_us,compressed_check_us,raw_check,compressed_check
0,5,7,1,85,1636,543,66,50,102,39,ok,ok
1,10,14,2,85,3251,1065,67,50,190,81,ok,ok
2,15,21,3,85,4866,1587,67,50,289,124,ok,ok
3,20,28,4,85,6481,2109,67,50,397,175,ok,ok
4,25,35,5,85,8096,2631,67,50,507,233,ok,ok
5,30,42,6,85,9711,3153,67,50,624,303,ok,ok
6,35,49,7,85,11326,3675,67,50,750,375,ok,ok
7,40,56,8,85,12941,4197,67,50,890,466,ok,ok
8,45,63,9,85,14556,4719,67,50,1046,570,ok,ok
9,50,70,10,85,16171,5241,67,50,1200,681,ok,ok
10,55,77,11,85,17848,5787,67,50,1371,1050,ok,ok
11,60,84,12,85,19525,6333,67,50,1633,1017,ok,ok
12,65,91,13,85,21202,6879,67,50,1843,1250,ok,ok
13,70,98,14,85,22879,7425,67,50,2012,1354,ok,ok
14,75,105,15,85,24556,7971,67,50,2315,1625,ok,ok
15,80,112,16,85,26233,8517,67,50,2519,1832,ok,ok
16,85,119,17,85,27910,9063,67,50,3676,2992,ok,ok
17,90,126,18,85,29587,9609,67,50,3300,2271,ok,ok
18,95,133,19,85,31264,10155,67,50,3405,2842,ok,ok
19,100,140,20,85,32941,10701,67,50,6000,5373,ok,ok
20,105,147,21,85,34618,11247,67,50,4767,3226,ok,ok
